Location,Arabic,Latitude,Longitude,Region,Basic geo-math,
Abha,أبها,18.21705,42.49948,Riyadh,Min Longitude,36.46376
Abqaiq,بقيق,26.285,50.11826,Khobar,Max Longitude,50.206
Abu Areish,أبو عريش,16.9766,42.84788,Riyadh,Riyadh Longitude,46.724129
Afif,العفيف,23.88461,42.9108,Riyadh,Riyadh - Jeddah boundary,41.5939445
Aflaj,أفلاج,26.2935,50.10381,Khobar,Riyadh - Khobar boundary,48.4650645
Ahad Masarha,احد المسارحة,24.62345,46.69896,Riyadh,,
Ahad Rufaidah,احد رفيدة,21.59567,39.21805,Jeddah,,
Ain Dar,عين دار,25.94748,49.42361,Khobar,,
Al Dalemya,الدليمية,24.67625,46.75191,Riyadh,,
Al Moya,المويا,24.66018,46.70529,Riyadh,,
Al-Jsh,الغاط,26.31359,50.206,Khobar,,
Alghat,الهدا,26.02906,44.94921,Riyadh,,
Alhada,الجش,21.36058,40.27732,Jeddah,,
Alrass,الراس,24.69497,46.72413,Riyadh,,
Amaq,عمق,24.69497,46.72413,Riyadh,,
Anak,عنك,26.52425,50.01772,Khobar,,
Arar,عرعر,30.97215,41.01333,Jeddah,,
Artawiah,الأرطاوية,24.69497,46.72413,Riyadh,,
Asfan,الأرطاوية,21.91235,39.34103,Jeddah,,
Ash Shuqaiq,الشقيق,27.0687,47.01634,Riyadh,,
Assiyah,أسياح,24.69497,46.72413,Riyadh,,
Atawleh,الطويلة,24.69497,46.72413,Riyadh,,
Awamiah,العوامية,26.58584,49.9836,Khobar,,
Ayn Fuhayd,عين فهيد,24.69497,46.72413,Riyadh,,
Badaya,البادية,25.23241,45.25773,Riyadh,,
Bader,بدر,26.41809,50.01851,Khobar,,
Baha,الباحا,20.00915,41.46495,Jeddah,,
Bahara,بحارا,26.56854,49.99304,Khobar,,
Bahrat Al Moujoud,بحرات الموجود,24.59792,46.65411,Riyadh,,
Balahmar,بلحمر,24.59849,46.61976,Riyadh,,
Balasmar,بلسمر,24.80674,46.76313,Riyadh,,
Baqa'A,البقعاء,24.01714,38.21336,Jeddah,,
Bareq,بارق,24.58162,46.57785,Riyadh,,
Biljurashi,بلجرشي,19.84273,41.56218,Jeddah,,
Birk,البرك,24.69497,46.72413,Riyadh,,
Bish,البش,21.54676,39.22593,Jeddah,,
Bisha,بيشا,20.02639,42.56262,Riyadh,,
Bukeiriah,البكيريه,24.69497,46.72413,Riyadh,,
Buraidah,بريدة,18.21179,42.53769,Riyadh,,
Daelim,الدليم,24.69497,46.72413,Riyadh,,
Damad,الدماد,17.12036,42.77583,Riyadh,,
Dammam,الدمام,26.43928,50.09446,Khobar,,
Darb,الدرب,17.73114,42.25104,Riyadh,,
Dawadmi,الدوادمي,24.49755,44.35685,Riyadh,,
Daws,الدوس,24.69497,46.72413,Riyadh,,
Deraab,ديراب,24.69497,46.72413,Riyadh,,
Dere'Iyeh,الدريلية,24.69497,46.72413,Riyadh,,
Dhahran,الظهران,26.3025,50.145969,Khobar,,
Dhahran Al Janoob,ظهران الجنوب,24.66911,46.70836,Riyadh,,
Dhalm,ظلم,24.69497,46.72413,Riyadh,,
Dhurma,ضرما,24.59842,46.13393,Riyadh,,
Domat Al Jandal,دومة الجندل,29.84417,40.19,Jeddah,,
Duba,ضبا,24.69497,46.72413,Riyadh,,
Farasan,فرسان,16.69671,42.10303,Riyadh,,
Ghazalah,الغزالة,26.80429,41.31846,Jeddah,,
Gizan,جيزان,24.69497,46.72413,Riyadh,,
Hadeethah,الحديثة,24.69497,46.72413,Riyadh,,
Hafer Al Batin,حفر الباطن,28.4375,45.98047,Riyadh,,
Hail,حايل,27.53414,41.69812,Riyadh,,
Halat Ammar,حالة عمار,21.60538,39.1686,Jeddah,,
Haqil,حقل,24.71382,46.75219,Riyadh,,
Harad,حرض,24.145769,49.059589,Khobar,,
Hareeq,الحريق,23.5908,46.53889,Riyadh,,
Harjah,الحرجة,21.59968,39.22083,Jeddah,,
Haweyah,الحاوية,24.69497,46.72413,Riyadh,,
Hawtat Bani Tamim,حوطة بني تميم,21.47456,39.25059,Jeddah,,
Hinakeya,الحناكية,24.69497,46.72413,Riyadh,,
Hofuf,الهفوف,26.285931,50.11586,Khobar,,
Horaimal,حريملاء,24.69497,46.72413,Riyadh,,
Hotat Sudair,حوطة سدير,24.70158,46.71067,Riyadh,,
Ja'Araneh,الجعرانة,24.69497,46.72413,Riyadh,,
Jadid,جديد,21.58302,39.15343,Jeddah,,
Jafar,الجفر,21.46692,39.25267,Jeddah,,
Jalajel,جلاجل,24.63958,46.55071,Riyadh,,
Jeddah,جدة,21.485811,39.192505,Jeddah,,
Jouf,الجوف,29.93086,39.38331,Jeddah,,
Jubail,الجبيل,27.0077,49.660061,Khobar,,
Jumum,الجموم,21.62628,39.70141,Jeddah,,
Kara,قارا,21.19924,41.68082,Riyadh,,
Kara'A,الكراء,21.19924,41.68082,Riyadh,,
Karboos,كربوس,24.69497,46.72413,Riyadh,,
Khafji,الخفجي,28.4139,48.51716,Khobar,,
Khaibar,خيبر,24.86041,46.63502,Riyadh,,
Khamaseen,الخماسين,24.63287,46.59942,Riyadh,,
Khamis Mushait,خميس مشيط,18.30628,42.71405,Riyadh,,
Kharj,الخرج,24.1587,47.32695,Riyadh,,
Khasawyah,الخصيبة,24.69497,46.72413,Riyadh,,
Khobar,الخبر,26.31359,50.206,Khobar,,
Khodaria,الخضرية,24.69497,46.72413,Riyadh,,
Khottah,الخوطة,24.69497,46.72413,Riyadh,,
Khurma,خرمة,21.94157,42.02618,Riyadh,,
Laith,الليث,21.41138,39.77283,Jeddah,,
Madinah,المدينة المنورة,24.86522,39.53679,Jeddah,,
Majarda,المجردة,24.69497,46.72413,Riyadh,,
Majma,المجمعة,21.61437,39.1609,Jeddah,,
Makkah,مكة المكرمة,21.426439,39.82291,Jeddah,,
Mandak,المندق,20.16276,41.29187,Jeddah,,
Mastura,مستورة,24.69497,46.72413,Riyadh,,
Midinhab,المذينب,24.69497,46.72413,Riyadh,,
Mikhwa,المجوه,24.69497,46.72413,Riyadh,,
Mnefah,منيفة,24.69497,46.72413,Riyadh,,
Mohayel Aseer,محايل عسير,24.69497,46.72413,Riyadh,,
Molejah,المليجة,24.69497,46.72413,Riyadh,,
Moqaq,المجاج,24.69497,46.72413,Riyadh,,
Mrat,مرات,24.69497,46.72413,Riyadh,,
Mubaraz,المبرز,25.41501,49.58855,Khobar,,
Muthaleif,المظيليف,24.69497,46.72413,Riyadh,,
Muzahmiah,المزاحمية,24.47104,46.29141,Riyadh,,
Muzneb,المذنب,24.69497,46.72413,Riyadh,,
Nabiya,النابية,24.69497,46.72413,Riyadh,,
Najran,نجران,17.531651,44.202358,Riyadh,,
Namas,النماص,19.12174,42.13678,Riyadh,,
Nanyah,الننية,24.69497,46.72413,Riyadh,,
Noweirieh,النويرية,24.69497,46.72413,Riyadh,,
Nwariah,النوارية,24.69497,46.72413,Riyadh,,
Ojam,الأوجام,24.69497,46.72413,Riyadh,,
Onaiza,عنيزة,24.69497,46.72413,Riyadh,,
Othmanyah,العثمانية,24.69497,46.72413,Riyadh,,
Oula,العلا,24.73309,46.80715,Riyadh,,
Oyaynah,العيينة,24.62737,46.77497,Riyadh,,
Qahmah,القحمة,24.69497,46.72413,Riyadh,,
Qarah,القارة,25.41745,49.66612,Khobar,,
Qasab,القصاب,25.296,45.50987,Riyadh,,
Qatif,القطيف,26.56847,50.011131,Khobar,,
Qaysoomah,القيصومه,24.69497,46.72413,Riyadh,,
Qufar,قفار,24.69497,46.72413,Riyadh,,
Qunfudah,القنفذة,24.69497,46.72413,Riyadh,,
Qurayat,القريات,31.329636,37.361355,Jeddah,,
Quwei'Ieh,القويعية,24.69497,46.72413,Riyadh,,
Rabigh,رابغ,22.79681,39.044682,Jeddah,,
Rafha,رفحا,29.64927,43.51186,Riyadh,,
Rahima,رحيمة,24.69497,46.72413,Riyadh,,
Rania,رانيا,24.607189,46.75404,Riyadh,,
Ras Tanura,راس تنورة,26.70985,50.07508,Khobar,,
Rejal Alma'A,رجال المع,26.45988,43.83952,Riyadh,,
Remah,رماح,25.56186,47.15855,Riyadh,,
Riyadh,الرياض,24.694969,46.724129,Riyadh,,
Riyadh Al Khabra,رياض الخبره,26.08799,43.59452,Riyadh,,
Rowdat Sodair,روضة سدير,24.69497,46.72413,Riyadh,,
Rwaydah,الروضة,24.69497,46.72413,Riyadh,,
Sabt El Alaya,سبت العلايا,21.80714,39.13207,Jeddah,,
Sabya,صبيا,17.17125,42.63214,Riyadh,,
Safanyah,السفانية,27.94108,48.66258,Khobar,,
Safwa,صفوى,26.65292,49.92453,Khobar,,
Sahna,السحنة,24.69497,46.72413,Riyadh,,
Sajir,ساجر,21.49874,39.17473,Jeddah,,
Sakaka,سكاكا,29.97529,40.18837,Jeddah,,
Salbookh,صلبوخ,24.79045,46.69599,Riyadh,,
Samtah,صامطة,16.61113,42.92706,Riyadh,,
Sarat Obeida,سراة عبيدة,18.09055,43.12375,Riyadh,,
Seihat,سيهات,26.4896,50.03949,Khobar,,
Shaqra,شقرا,25.24146,45.25506,Riyadh,,
Sharourah,شروره,17.48928,47.1126,Riyadh,,
Shefa'A,الشفاء,24.71365,46.79144,Riyadh,,
Shinanh,شنانة,27.18307,42.43588,Riyadh,,
Shoaiba,الشعيبة,27.84732,42.7727,Riyadh,,
Shraie'E,الشرائع,17.37756,44.64838,Riyadh,,
Shumeisi,الشميسي,24.69497,46.72413,Riyadh,,
Snabs,سنابس,24.69497,46.72413,Riyadh,,
Sulaiyl,السليل,20.41931,45.51053,Riyadh,,
Sumaira,سميراء,24.69497,46.72413,Riyadh,,
Tabrjal,طبرجل,24.69497,46.72413,Riyadh,,
Tabuk,تبوك,28.392151,36.57399,Jeddah,,
Taif,الطائف,21.27104,40.417389,Jeddah,,
Tanjeeb,تناجيب,24.69497,46.72413,Riyadh,,
Tanuma,تانوما,26.70985,50.07508,Khobar,,
Tarut,تاروت,21.49777,39.17551,Jeddah,,
Tatleeth,تثليث,24.69497,46.72413,Riyadh,,
Tayma,تيماء,27.62599,38.53737,Jeddah,,
Tebrak,طبرق,24.69497,46.72413,Riyadh,,
Thabya,ظبياء,27.92822,45.37498,Riyadh,,
Thadek,ثادق,24.69497,46.72413,Riyadh,,
Thumair,الثمير,24.69497,46.72413,Riyadh,,
Thuqba,الثقبة,24.69497,46.72413,Riyadh,,
Towal,الطوال,22.86749,46.03236,Riyadh,,
Turaif,طريف,24.72819,46.65674,Riyadh,,
Turba,تربة,21.54568,41.8363,Riyadh,,
Udhaliyah,العضيلية,24.69497,46.72413,Riyadh,,
Um Aljamajim,ام الجماجم,24.69497,46.72413,Riyadh,,
Umluj,املج,25.0765,37.31494,Jeddah,,
Uqlat Al Suqur,عقلة الصقور,18.3026,42.76039,Riyadh,,
Uyun,عيون الجواء,26.50625,43.65124,Riyadh,,
Wadeien,الوادين,24.69497,46.72413,Riyadh,,
Wadi El Dwaser,وادي الدواسر,24.65855,46.62302,Riyadh,,
Wadi Fatmah,وادي فاطمة,21.55839,39.19015,Jeddah,,
Wajeh (Al Wajh),الوجه,26.232,36.46376,Jeddah,,
Yanbu,ينبع,24.09392,38.063358,Jeddah,,
Yanbu Al Baher,ينبع البحر,23.99521,38.20284,Jeddah,,
Zahban,ذهبان,24.69497,46.72413,Riyadh,,
Zulfi,الزلفي,26.29491,44.80449,Riyadh,,
